,Year,multiplacitive_CI
12,2002,17.395271018063607
13,2003,17.53737276102147
14,2004,17.651980320668464
15,2005,17.725942627399984
16,2006,17.695273986847436
17,2007,17.54335268432957
18,2008,17.34136743535462
19,2009,17.153424830304598
20,2010,17.049641018567048
21,2011,16.99626843581432
22,2012,16.92523699838252
23,2013,16.84007340219858
24,2014,16.75377035423594
25,2015,16.65332686090573
26,2016,16.551349740415997
27,2017,16.454375011310002
28,2018,17.0
